Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
AstraZeneca Pharmaceuticals LP,No,,CRESTOR,Dental Providers|Dentist,disallowed
SANOFI-AVENTIS U.S. LLC,No,,TAXOTERE,,allowed
"Medtronic Vascular, Inc.",No,Leads,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Braintree Laboratories, Inc.",No,,SUPREP,Other Service Providers|Specialist,disallowed
Pfizer Inc.,No,,CELEBREX,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
AstraZeneca Pharmaceuticals LP,No,,SYMBICORT,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"AbbVie, Inc.",No,,Androgel,Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,disallowed
Boston Scientific Corporation,No,PAIN MANAGEMENT,,Chiropractic Providers|Chiropractor|Neurology,disallowed
Allergan Inc.,No,,COMBIGAN,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Janssen Pharmaceuticals, Inc",No,,No Product,Group|Single Specialty,disallowed
"ALK-Abello, Inc",No,,,,disallowed
AstraZeneca Pharmaceuticals LP,No,,BYDUREON WEEKLY,Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,disallowed
Cook Biotech Incorporated,No,Surgery,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Reckitt Benckiser Pharmaceuticals Inc.,No,,SUBOXONE SUBLINGUAL FILM,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,disallowed
"Entellus Medical, Inc.",No,XprESS Multi-Sinus Dilation Tool,,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngic Allergy,disallowed
AstraZeneca Pharmaceuticals LP,No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
ViroPharma Incorporated,No,,Cinryze HUMAN C1-ESTERASE INHIBITOR,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"New York Blood Center, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"MRI Interventions, Inc.",No,ClearPoint System,,Other Service Providers|Specialist,disallowed
"Life Spine, Inc.",No,Iris,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"BIOMET 3I, LLC",No,3I - DENTAL,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Merck Sharp & Dohme Corporation,No,,ZETIA,Allopathic & Osteopathic Physicians|Clinical Pharmacology,disallowed
Boston Scientific Corporation,No,BRONCHIAL THERMOPLASTY,,Dental Providers|Dentist,disallowed
DePuy Synthes Sales Inc.,No,Sports Medicine,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Avanir Pharmaceuticals, Inc.",No,,Nuedexta,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"Cumberland Pharmaceuticals, Inc.",No,,Caldolor,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|General Practice,disallowed
DMG AMERICA LLC,No,"ICON, LUXATEMP",,,disallowed
Convatec Inc.,No,CONTINENCE AND CRITICAL CARE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"BTG International, Inc.",No,,CROFAB,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
Covidien Sales LLC,No,Endo Stapling,,,disallowed
VERTEX PHARMACEUTICALS INCORPORATED,No,,INCIVEK,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"INTERNATIONAL REHABILITATIVE SCIENCES, INC",No,RS-LFS,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Spinal Cord Injury Medicine,disallowed
"Nippon Boehringer Ingelheim Co., Ltd.",No,,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,disallowed
"BioHorizons Implant Systems, Inc.",No,,,Dental Providers|Dentist|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,COMBIVENT RESPIMAT,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Merck Sharp & Dohme Corporation,No,,ZIOPTAN,Eye and Vision Services Providers|Optometrist|Low Vision Rehabilitation,disallowed
Novartis Vaccines and Diagnostics Inc,No,,Menveo,Managed Care Organizations|Health Maintenance Organization,disallowed
"Cryo Specialty Medical, LLC",No,IceEdge-Rod Sphere Cryoablation Needles,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
LifeCell Corporation,No,AlloDerm,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Medtronic Xomed, Inc.",No,Advanced Energy Hemostatic Device,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Allergan Inc.,No,,RESTASIS,Ambulatory Health Care Facilities|Clinic/Center|Student Health,disallowed
"Par Pharmaceutical, Inc.",No,,MEGACE ES MEGESTROL ACETATE,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Arthrosurface Incorporated,No,DF,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
Astellas Scientific and Medical Affairs,No,,ASTAGRAF XL,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
3M Company,No,Dental Adhesives,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Edarbyclor,"Other Service Providers|Medical Genetics, Ph.D. Medical Genetics",disallowed
"Horizon Pharma USA, Inc.",No,,DUEXIS-800mg Ibuprofen- 26.6mg Famotidine,,allowed
"Cardinal Health 414, LLC",No,,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
"Geistlich Pharma, North America, Inc.",No,Bio Materials,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"IsoTis OrthoBioligics, Inc.",No,Ortho-Bone Grafts,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
Novo Nordisk Inc,No,,Victoza,Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,disallowed
"AngioDynamics, Inc.",No,,,Allopathic & Osteopathic Physicians|Surgery|Trauma Surgery,disallowed
3M Company,No,Dental Adhesives,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"GlaxoSmithKline, LLC.",No,,BIO WT1 AS15 BRS,,allowed
"Smith & Nephew, Inc.",No,,Regranex,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,disallowed
"AbbVie, Inc.",No,,Depakote,Behavioral Health & Social Service Providers|Clinical Neuropsychologist,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Amitiza,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
3M Company,No,Dental Impression Materials,,Behavioral Health & Social Service Providers|Marriage & Family Therapist,disallowed
"Genentech USA, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Baxter Healthcare,No,,Specialty Pharmaceuticals - ANESTHESIA SUPRANE,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Genentech, Inc.",No,,Actemra,,allowed
Novartis Pharmaceuticals Corporation,No,,NON_BRAND,Hospitals|General Acute Care Hospital|Critical Access,disallowed
Allergan Inc.,No,LAP-BAND,,Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Xofigo,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
Warner Chilcott LLC,No,,LO LOESTRIN,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
SANOFI-AVENTIS U.S. LLC,No,Osteoarthritis of the knee,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"U.S.S.C. Puerto Rico, Inc.",No,,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation - Neuro,,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
Baxter Healthcare,No,Renal - PD,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Xofigo,Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Cardiology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SYMLIN,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Salix Pharmaceuticals, Ltd",No,,SOLESTA,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
"Spine View, Inc.",No,enSpire Cervical Discectomy system,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
"Meda Pharmaceuticals, Inc.",No,,Dymista,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
"LILLY USA, LLC",No,,EFFIENT,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
XenoPort Inc.,No,,Horizant,Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Uloric,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
"Millennium Pharmaceuticals, Inc.",No,,VELCADE,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Otsuka America Pharmaceutical, Inc.",No,,SAMSCA,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Covidien Sales LLC,No,Compression,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"AbbVie, Inc.",No,,Humira,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Toshiba America Medical Systems, Inc.",No,UL,,Allopathic & Osteopathic Physicians|Radiology|Pediatric Radiology,disallowed
Novartis Vaccines and Diagnostics Inc,No,,Menveo,Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,disallowed
ViroPharma Incorporated,No,,Cinryze HUMAN C1-ESTERASE INHIBITOR,,disallowed
Baxter Healthcare,No,,Hemophilia - Non Product Related,,disallowed
Dux Industries Inc,No,,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Hospira Worldwide, Inc.",No,,Dexmedetomidine Hydrochloride Injection Precedex 100 mcg,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,allowed
"Janssen Pharmaceuticals, Inc",No,,Invega Sustenna,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Maternal & Fetal Medicine,disallowed
Monaghan Medical Corporation,No,AeroChamber,,,disallowed
"Ellipse Technologies, Inc.",No,MAGEC,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"ACell, Inc.",No,,,Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,disallowed
"AbbVie, Inc.",No,,Creon,Allopathic & Osteopathic Physicians|Surgery,disallowed
TERUMO MEDICAL CORPORATION,No,INTERVENTIONAL PRODUCT,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,disallowed
"Medtronic Xomed, Inc.",No,Image Guided Surgery Products,,Allopathic & Osteopathic Physicians|Otolaryngology|Otology & Neurotology,disallowed
Merck Sharp & Dohme Corporation,No,,VYTORIN,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
DePuy Synthes Products LLC,No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Ethicon Inc.,No,BioPatch,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Novartis Pharmaceuticals Corporation,No,,ARCAPTA NEOHALER,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,allowed
"Genentech, Inc.",No,,,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
AstraZeneca Pharmaceuticals LP,No,,SEROQUEL XR,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Hospice and Palliative Medicine,disallowed
Fisher & Paykel Healthcare Inc,No,OSA,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
Sunovion Pharmaceuticals Inc.,No,,Alvesco,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Lantheus Medical Imaging, Inc.",No,,Definity,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",No,,Nexavar,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Apollo Surgical Group, LLC",No,ALL ARTHREX PRODUCT LINES,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
AstraZeneca Pharmaceuticals LP,No,,FASLODEX,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
"LILLY USA, LLC",No,,ALIMTA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Medtronic USA, Inc.",No,Deep Brain Neurostimulation,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
ViiV Healthcare Company,No,,SELZENTRY,Allopathic & Osteopathic Physicians|Internal Medicine|Hepatology,allowed
SANOFI-AVENTIS U.S. LLC,No,,ZALTRAP,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,allowed
"Hu-Friedy Mfg. Co., LLC",No,Surgical,,Dental Providers|Dentist,disallowed
Cubist Pharmaceuticals Inc,No,,Anti-Bacterial,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
United Therapeutics Corporation,No,,ADCIRCA,Other Service Providers|Specialist,disallowed
"Janssen Pharmaceuticals, Inc",No,,Zytiga,Emergency Medical Service Providers|Personal Emergency Response Attendant,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Eye and Vision Services Providers|Optometrist,disallowed
Ranbaxy Inc.,No,,,Allopathic & Osteopathic Physicians|Dermatology|Procedural Dermatology,disallowed
"Par Pharmaceutical, Inc.",No,,MEGACE ES MEGESTROL ACETATE,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
Celgene Corporation,No,,,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Novo Nordisk AS,No,,Victoza,Allopathic & Osteopathic Physicians|Internal Medicine,allowed
Jubilant HollisterStier LLC,No,,STANDARDIZED MITE DERMATOPHAGOIDES PTERONYSSINUS SCRATCH OR BULK 30000 AU PER ML,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngic Allergy,disallowed
Biogen Idec Inc.,No,,TECFIDERA,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Other Service Providers|Contractor,disallowed
Novartis Pharmaceuticals Corporation,No,,TYZEKA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Endo Pharmaceuticals Inc.,No,,SUPPRELIN LA,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"BIOMET SPINE, LLC",No,BSBHT - IMPLANTABLE STIMULATORS,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Salix Pharmaceuticals, Ltd",No,,DEFLUX,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Esaote North America, Inc.",No,Mylab Twice,,,disallowed
Perrigo Company plc,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"LIPOSCIENCE, INC.",No,NMR LipoProfile Test,,,allowed
Pfizer Inc.,No,,ZYVOX,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Novo Nordisk Inc,No,,NovoLog,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Bioventus LLC,No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Flowonix Medical Incorporated,No,,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
PFIZER INTERNATIONAL LLC,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Merck Sharp & Dohme Corporation,No,,ZETIA Cardiovascular,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Novartis Pharmaceuticals Corporation,No,,MYFORTIC,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Allergan Inc.,No,NATRELLE,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,allowed
"Teva Pharmaceuticals USA, Inc.",No,,FILGRASTIM,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
DePuy Synthes Sales Inc.,No,Neurovascular,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Daiichi Sankyo Inc.,No,,Tribenzor,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
Genzyme Corporation,No,,AUBAGIO,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
Merck Sharp & Dohme Corporation,No,,NASONEX,Dental Providers|Dentist,disallowed
"Genentech USA, Inc.",No,,Erivedge,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Merck Sharp & Dohme Corporation,No,,EMEND,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
Sunovion Pharmaceuticals Inc.,No,,Zetonna,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychosomatic Medicine,disallowed
Valeant Pharmaceuticals North America LLC,No,,ARESTIN,Dental Providers|Dentist,allowed
Stryker Corporation,No,NEURO SPINE ENT,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Cook Medical LLC,No,PI - Self-Expanding Stent,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Novartis Pharmaceuticals Corporation,No,,SANDOSTATIN,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,allowed
Novartis Pharmaceuticals Corporation,No,,ILARIS,Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Genetics (M.D.),disallowed
Skeletal Kinetics LLC,No,SKAFFOLD,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Dental Providers|Dentist|General Practice,disallowed
Covidien LP,No,Biosurgery Hemostats,Biosurgery Hemostats,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),allowed
"Merz North America, Inc.",No,Radiesse,Xeomin,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
Cook Medical LLC,No,SUR - SIS,,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Pfizer Inc.,No,,PRISTIQ,Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,disallowed
HOLOGIC INC,No,THS,,,disallowed
Amgen Inc.,No,,Neulasta,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
Amgen Inc.,No,,Prolia,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,ZORTRESS,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
